Nom_echantillons	Id	Couple	Type	Zone	Cross	pH_eau	pH_KCl	Pi	Azote_total	Calcaire_total	Carbone_total	Carbone_organique_total	C/N	Matiere_organique	Calcium	Magnesium	Manganese	Potassium	Argiles	Limons	Sables
TCSHB2	134	10	Spontane	Hors brule	Spontane_Hors brule	8.45	7.79	3.54228078	1.365949661	571	84.83612061	16.3	11.9	28.2	40.87	0.306	0.0139	0.1763	217	360	423
TCSB3	135	10	Spontane	Brule	Spontane_Brule	8.66	7.97	2.32009284	0.445075482	521	67.22688198	4.71	10.6	8.15	37.51	0.1709	0.0072	0.1502	179	362	459
TCSHB3	136	10	Spontane	Hors brule	Spontane_Hors brule	8.48	7.75	2.69316218	1.201357096	407	64.3103075	15.5	12.9	26.8	43.04	0.3532	0.013	0.2924	276	330	394
TCSB4	137	10	Spontane	Brule	Spontane_Brule	8.08	7.55	4.89066332	2.782274485	499	96.07775688	36.2	13	62.6	46.22	0.5315	0.0249	0.2971	337	328	335
TCSHB4	138	10	Spontane	Hors brule	Spontane_Hors brule	8.17	7.55	5.51872863	3.377476931	397	93.87498856	46.2	13.7	79.9	46.15	0.7073	0.0309	0.2811	320	352	328
TCPB1	139	10	Plante	Brule	Plante_Brule	8.47	7.51	18.3847143	1.991109103	84	30.83446503	20.8	10.4	36	46.56	0.8883	0.0045	0.9853	419	304	277
TCPHB1	140	10	Plante	Hors brule	Plante_Hors brule	8.23	7.4	24.7539557	2.301249504	127	41.40010834	26.2	11.4	45.3	47	1.027	0.0228	1.156	402	277	321
TCPB2	141	10	Plante	Brule	Plante_Brule	8.29	7.39	22.5509236	1.890872866	43	25.31654358	20.2	10.7	34.9	42.41	0.9073	0.0111	1.048	417	335	248
TCPHB2	142	10	Plante	Hors brule	Plante_Hors brule	8.28	7.4	24.5301446	2.253660262	50	29.7669673	23.8	10.6	41.2	43.62	1.037	0.0099	1.306	449	302	249
TCPB3	143	10	Plante	Brule	Plante_Brule	8.33	7.38	21.0788182	2.094818354	50	28.9957881	23	11	39.8	44.68	0.9509	0.0126	1.209	474	300	226
TCPHB3	144	10	Plante	Hors brule	Plante_Hors brule	8.26	7.39	26.5123472	2.231388688	62	31.29886866	23.9	10.7	41.3	45.66	0.9359	0.0136	1.22	467	294	239
TCPB4	145	10	Plante	Brule	Plante_Brule	8.27	7.32	33.4019726	2.701154947	27	32.086339	28.8	10.7	49.8	38.24	1.01	0.014	1.348	480	314	206
TCPHB4	146	10	Plante	Hors brule	Plante_Hors brule	8.04	7.27	27.7610204	2.36554727	24	27.54273176	24.7	10.4	42.7	38.91	1.228	0.0277	1.603	476	308	216
